Measurement Type,,Variable Name,Variable Description,Units,
Crop,,RCSTOP,Reducing Sugars Concentration of Sucker Tops (Cabbage + Green Leaf),g/g,
Crop,,RCSTOPF,Reducing Sugars Concentration of Sucker Tops (Cabbage + Green Leaf) Fresh,g/g,
Crop,,RCSTOTA,Reducing Sugars Concentration of Sucker Above-ground Biomass,g/g,
Crop,,RCSTOTAF,Reducing Sugars Concentration of Sucker Above-ground Biomass Fresh,g/g,
Crop,,RCTOP,Reducing Sugars Concentration of Tops (Cabbage + Green Leaf),g/g,
Crop,,RCTOPF,Reducing Sugars Concentration of Tops (Cabbage + Green Leaf) Fresh,g/g,
Crop,,RCTOTA,Reducing Sugars Concentration of Above-ground Biomass,g/g,
Crop,,RCTOTAF,Reducing Sugars Concentration of Above-ground Biomass Fresh,g/g,
Crop,,RINT,Radiation Interception,%,
Crop,,RLPS,Rate of Leaf Photosynthesis,mmol CO2/m2/s,
Crop,,RUE,RUE from planting,g/MJ,
Crop,,RWCAB,Reducing Sugars in Cabbage,g/m2,
Crop,,RWGLF,Reducing Sugars in Green Leaf,g/m2,
Crop,,RWMST,Reducing Sugars in Cane (Millable Stem),g/m2,
Crop,,RWPCAB,Reducing Sugars in Primary Cabbage,g/m2,
Crop,,RWPGLF,Reducing Sugars in Primary Green Leaf,g/m2,
Crop,,RWPMST,Reducing Sugars in Primary Cane (Millable Stem),g/m2,
Crop,,RWPSTA,Reducing Sugars in Primary Cane + Cabbage,g/m2,
Crop,,RWPTOP,Reducing Sugars in Primary Tops (Cabbage + Green Leaf),g/m2,
Crop,,RWPTOTA,Reducing Sugars in Primary Above-ground Biomass,g/m2,
Crop,,RWSCAB,Reducing Sugars in Sucker Cabbage,g/m2,
Crop,,RWSGLF,Reducing Sugars in Sucker Green Leaf,g/m2,
Crop,,RWSMST,Reducing Sugars in Sucker Cane (Millable Stem),g/m2,
Crop,,RWSSTA,Reducing Sugars in Sucker Cane + Cabbage,g/m2,
Crop,,RWSTA,Reducing Sugars in Cane + Cabbage,g/m2,
Crop,,RWSTOP,Reducing Sugars in Sucker Tops (Cabbage + Green Leaf),g/m2,
Crop,,RWSTOTA,Reducing Sugars in Sucker Above-ground Biomass,g/m2,
Crop,,RWTOP,Reducing Sugars in Tops (Cabbage + Green Leaf),g/m2,
Crop,,RWTOTA,Reducing Sugars in Above-ground Biomass,g/m2,
Crop,,SCCAB,Sucrose Concentration of Cabbage,g/g,
Crop,,SCCABF,Sucrose Concentration of Cabbage Fresh,g/g,
Crop,,SCGLF,Sucrose Concentration of Green Leaf,g/g,
Crop,,SCGLFF,Sucrose Concentration of Green Leaf Fresh,g/g,
Crop,,SCMST,Sucrose Concentration of Cane (millable stem),g/g,
Crop,,SCMSTF,Sucrose Concentration of Cane (millable stem) Fresh,g/g,
Crop,,SCPCAB,Sucrose Concentration of Primary Cabbage,g/g,
Crop,,SCPCABF,Sucrose Concentration of Primary Cabbage Fresh,g/g,
Crop,,SCPGLF,Sucrose Concentration of Primary Green Leaf,g/g,
Crop,,SCPGLFF,Sucrose Concentration of Primary Green Leaf Fresh,g/g,
Crop,,SCPMST,Sucrose Concentration of Primary Cane (Millable Stem),g/g,
Crop,,SCPMSTF,Sucrose Concentration of Primary Cane (Millable Stem) Fresh,g/g,
Crop,,SCPSTA,Sucrose Concentration of Primary Cane + Cabbage,g/g,
Crop,,SCPSTAF,Sucrose Concentration of Primary Cane + Cabbage Fresh,g/g,
Crop,,SCPTOP,Sucrose Concentration of Primary Tops (Cabbage + Green Leaf),g/g,
Crop,,SCPTOPF,Sucrose Concentration of Primary Tops (Cabbage + Green Leaf) Fresh,g/g,
Crop,,SCPTOTA,Sucrose Concentration of Primary Above-ground Biomass,g/g,
Crop,,SCPTOTAF,Sucrose Concentration of Primary Above-ground Biomass Fresh,g/g,
Crop,,SCSCAB,Sucrose Concentration of Sucker Cabbage,g/g,
Crop,,SCSCABF,Sucrose Concentration of Sucker Cabbage Fresh,g/g,
Crop,,SCSGLF,Sucrose Concentration of Sucker Green Leaf,g/g,
Crop,,SCSGLFF,Sucrose Concentration of Sucker Green Leaf Fresh,g/g,
Crop,,SCSMST,Sucrose Concentration of Sucker Cane (Millable Stem),g/g,
Crop,,SCSMSTF,Sucrose Concentration of Sucker Cane (Millable Stem) Fresh,g/g,
Crop,,SCSSTA,Sucrose Concentration of Sucker Cane + Cabbage,g/g,
Crop,,SCSSTAF,Sucrose Concentration of Sucker Cane + Cabbage Fresh,g/g,
Crop,,SCSTA,Sucrose Concentration of Cane + Cabbage (stem),g/g,
Crop,,SCSTAF,Sucrose Concentration of Cane + Cabbage (stem) Fresh,g/g,
Crop,,SCSTOP,Sucrose Concentration of Sucker Tops (Cabbage + Green Leaf),g/g,
Crop,,SCSTOPF,Sucrose Concentration of Sucker Tops (Cabbage + Green Leaf) Fresh,g/g,
Crop,,SCSTOTA,Sucrose Concentration of Sucker Above-ground Biomass,g/g,
Crop,,SCSTOTAF,Sucrose Concentration of Sucker Above-ground Biomass Fresh,g/g,
Crop,,SCTOP,Sucrose Concentration of Tops (Cabbage + Green Leaf),g/g,
Crop,,SCTOPF,Sucrose Concentration of Tops (Cabbage + Green Leaf) Fresh,g/g,
Crop,,SCTOTA,Sucrose Concentration of Above-ground Biomass,g/g,
Crop,,SCTOTAF,Sucrose Concentration of Above-ground Biomass Fresh,g/g,
Crop,,SWCAB,Sucrose in Cabbage,g/m2,
Crop,,SWGLF,Sucrose in Green Leaf,g/m2,
Crop,,SWMST,Sucrose in Cane (millable stem),g/m2,
Crop,,SWPCAB,Sucrose in Primary Cabbage,g/m2,
Crop,,SWPGLF,Sucrose in Primary Green Leaf,g/m2,
Crop,,SWPMST,Sucrose in Primary Cane (Millable Stem),g/m2,
Crop,,SWPSTA,Sucrose in Primary Cane + Cabbage,g/m2,
Crop,,SWPTOP,Sucrose in Primary Tops (Cabbage + Green Leaf),g/m2,
Crop,,SWPTOTA,Sucrose in Primary Above-ground Biomass,g/m2,
Crop,,SWSCAB,Sucrose in Sucker Cabbage,g/m2,
Crop,,SWSGLF,Sucrose in Sucker Green Leaf,g/m2,
Crop,,SWSMST,Sucrose in Sucker Cane (Millable Stem),g/m2,
Crop,,SWSSTA,Sucrose in Sucker Cane + Cabbage,g/m2,
Crop,,SWSTA,Sucrose in Cane + Cabbage (stem),g/m2,
Crop,,SWSTOP,Sucrose in Sucker Tops (Cabbage + Green Leaf),g/m2,
Crop,,SWSTOTA,Sucrose in Sucker Above-ground Biomass,g/m2,
Crop,,SWTOP,Sucrose in Tops (Green Leaf + Cabbage),g/m2,
Crop,,SWTOTA,Sucrose in Above-ground Biomass,g/m2,
Crop,,TCCAB,Fructose Concentration of Cabbage,g/g,
Crop,,TCCABF,Fructose Concentration of Cabbage Fresh,g/g,
Crop,,TCGLF,Fructose Concentration of Green Leaf,g/g,
Crop,,TCGLFF,Fructose Concentration of Green Leaf Fresh,g/g,
Crop,,TCMST,Fructose Concentration of Cane (millable stem),g/g,
Crop,,TCMSTF,Fructose Concentration of Cane (millable stem) Fresh,g/g,
Crop,,TCPCAB,Fructose Concentration of Primary Cabbage,g/g,
Crop,,TCPCABF,Fructose Concentration of Primary Cabbage Fresh,g/g,
Crop,,TCPGLF,Fructose Concentration of Primary Green Leaf,g/g,
Crop,,TCPGLFF,Fructose Concentration of Primary Green Leaf Fresh,g/g,
Crop,,TCPMST,Fructose Concentration of Primary Cane (Millable Stem),g/g,
Crop,,TCPMSTF,Fructose Concentration of Primary Cane (Millable Stem) Fresh,g/g,
Crop,,TCPSTA,Fructose Concentration of Primary Cane + Cabbage,g/g,
Crop,,TCPSTAF,Fructose Concentration of Primary Cane + Cabbage Fresh,g/g,
Crop,,TCPTOP,Fructose Concentration of Primary Tops (Cabbage + Green Leaf),g/g,
Crop,,TCPTOPF,Fructose Concentration of Primary Tops (Cabbage + Green Leaf) Fresh,g/g,
Crop,,TCPTOTA,Fructose Concentration of Primary Above-ground Biomass,g/g,
Crop,,TCPTOTAF,Fructose Concentration of Primary Above-ground Biomass Fresh,g/g,
Crop,,TCSCAB,Fructose Concentration of Sucker Cabbage,g/g,
Crop,,TCSCABF,Fructose Concentration of Sucker Cabbage Fresh,g/g,
Crop,,TCSGLF,Fructose Concentration of Sucker Green Leaf,g/g,
Crop,,TCSGLFF,Fructose Concentration of Sucker Green Leaf Fresh,g/g,
Crop,,TCSMST,Fructose Concentration of Sucker Cane (Millable Stem),g/g,
Crop,,TCSMSTF,Fructose Concentration of Sucker Cane (Millable Stem) Fresh,g/g,
Crop,,TCSSTA,Fructose Concentration of Sucker Cane + Cabbage,g/g,
Crop,,TCSSTAF,Fructose Concentration of Sucker Cane + Cabbage Fresh,g/g,
Crop,,TCSTA,Fructose Concentration of Cane + Cabbage (stem),g/g,
Crop,,TCSTAF,Fructose Concentration of Cane + Cabbage (stem) Fresh,g/g,
Crop,,TCSTOP,Fructose Concentration of Sucker Tops (Cabbage + Green Leaf),g/g,
Crop,,TCSTOPF,Fructose Concentration of Sucker Tops (Cabbage + Green Leaf) Fresh,g/g,
Crop,,TCSTOTA,Fructose Concentration of Sucker Above-ground Biomass,g/g,
Crop,,TCSTOTAF,Fructose Concentration of Sucker Above-ground Biomass Fresh,g/g,
Crop,,TCTOP,Fructose Concentration of Tops (Cabbage + Green Leaf),g/g,
Crop,,TCTOPF,Fructose Concentration of Tops (Cabbage + Green Leaf) Fresh,g/g,
Crop,,TCTOTA,Fructose Concentration of Above-ground Biomass,g/g,
Crop,,TCTOTAF,Fructose Concentration of Above-ground Biomass Fresh,g/g,
Crop,,TDWT,Total Dry Matter (Biomass),t/ha,
Crop,,TFWT,Total Fresh Yield,t/ha,
Crop,,TWCAB,Fructose in Cabbage,g/m2,
Crop,,TWGLF,Fructose in Green Leaf,g/m2,
Crop,,TWMST,Fructose in Cane (millable stem),g/m2,
Crop,,TWPCAB,Fructose in Primary Cabbage,g/m2,
Crop,,TWPGLF,Fructose in Primary Green Leaf,g/m2,
Crop,,TWPMST,Fructose in Primary Cane (Millable Stem),g/m2,
Crop,,TWPSTA,Fructose in Primary Cane + Cabbage,g/m2,
Crop,,TWPTOP,Fructose in Primary Tops (Cabbage + Green Leaf),g/m2,
Crop,,TWPTOTA,Fructose in Primary Above-ground Biomass,g/m2,
Crop,,TWSCAB,Fructose in Sucker Cabbage,g/m2,
Crop,,TWSGLF,Fructose in Sucker Green Leaf,g/m2,
Crop,,TWSMST,Fructose in Sucker Cane (Millable Stem),g/m2,
Crop,,TWSSTA,Fructose in Sucker Cane + Cabbage,g/m2,
Crop,,TWSTA,Fructose in Cane + Cabbage (stem),g/m2,
Crop,,TWSTOP,Fructose in Sucker Tops (Cabbage + Green Leaf),g/m2,
Crop,,TWSTOTA,Fructose in Sucker Above-ground Biomass,g/m2,
Crop,,TWTOP,Fructose in Tops (Green Leaf + Cabbage),g/m2,
Crop,,TWTOTA,Fructose in Above-ground Biomass,g/m2,
