ExpID,Name,Description,,SiteName,SiteID,Field,BeginDate,EndDate,,MetStation,ExpDesign,Reps,Rating,Notes
37,Effect of Nitrogen on Yield of 2 Varieties - Rainfed,2 Varieties x 2 N rates - To determine effect of Nitrogen on Yield of 2 varieties grown under rain fed conditions,,"Macknade Research Station,Ingham Qld",MK,MK Bed17,1/10/1993,1/11/1994,,Macknade 103,"2 varieties ( Q117, Q138) x 2 N rates ( 0 and 200 kg/ha) under rainfed ratoon conditions",2,,
701,CRC 3.2 Herbert Region - Better Crop Scheduling and Effect of Nitrogen,(Plant) 4 Harvest Dates * 2 N rates - To determine effect of harvest date and Nitrogen on yield and CCS,,"Macknade Research Station,Ingham Qld",MK,MK Bed 18,1/4/1996,31/12/1997,,Macknade 104,"(Plant) 4 Harvest dates (May, July, October, December) * 2 Nitrogen rates (30kg/ha, 120kg/ha) * 4 replicates",2,,
702,CRC 3.2 Northern Region - Better Crop Scheduling and Yield Forecasting,(1R) 4 Crop Start Dates * 2 N rates - To determine effect of crop start date and Nitrogen on yield and CCS,,"Macknade Research Station,Ingham Qld",MK,MK Bed 18,29/05/1997,31/12/1998,,Macknade 104,"(1R) 4 Crop Start dates (May, July, October, December) * 2 Nitrogen rates (30kg/ha, 145kg/ha) * 2 replicates",2,,
706,CRC 3.2 Herbert Region - Better Crop Scheduling and Yield Forecasting,(1R) 2 * Harvest Dates - To determine effect of crop start date on yield and CCS,,"Macknade Research Station,Ingham Qld",MK,MK Bed 14,1/4/1996,31/12/1997,,Macknade 104,"(1R) 2 Harvest Dates (preseason, November) * 2 reps",2,,
707,CRC 3.2 Herbert Region - Better Crop Scheduling and Yield Forecasting,(2R) 2 * Crop Start Dates - To determine effect of crop start date on yield and CCS,,"Macknade Research Station,Ingham Qld",MK,MK Bed 14,29/05/1997,30/11/1998,,Macknade 104,"(2R) 2 Crop Start Dates ( preseason, November) * 2 reps",2,,
503,Nitrogen Nutrition of Sugar Cane,3 N rates x Variety H109,,"Makiki Experiment Station, Oahu, Hawaii",MA,MA Field 6-7,21/06/1933,30/06/1935,,"Makiki Experiment Station, Oahu","3 N Rates (150 kg/ha N, 300 kg/ha N, 724 kg/ha N) - Sampling at 3 monthly intervals. - Variety H109",1,,
508,Effect of Nitrogen on Yield - EXP 20 AxTN,4 N Rates,,"Makiki Experiment Station, Oahu, Hawaii",MA,MA Field 6-7,11/5/1942,27/08/1944,,"Makiki Experiment Station, Oahu","4 N Rates ( 0, 112, 180, 247 kg/ha N )- Sampled 3 monthly intervals - Variety H32-8560",1,,
509,Effect of Nitrogen on Yield - EXPT 22 AxTN,4 N Rates,,"Makiki Experiment Station, Oahu, Hawaii",MA,MA Field 6-7,8/11/1944,28/02/1947,,"Makiki Experiment Station, Oahu","4 N Rates ( 0, 112, 180, 247 kg/ha N) - Sampled 2 monthly intervals - Variety H32-8560 (X, A1, B1, C1 from paper only used)",1,,
885,CRC 3.2 Crop  Response to Alternative Harvest Dates in Gargett,(1R) Crop Yield and CCS Response - To determine effect of harvest date on yield and CCS,,"Nic Voss, Gargett, QLD",NV,WW,3/8/1997,27/09/1998,,Mackay 03,(1R)  Harvest Dates (2 - May and September ) x  Replicates,2,,
887,CRC 3.2 Crop  Response to Alternative Harvest Dates in Gargett,(3R) Crop Yield and CCS Response - To determine effect of harvest date on yield and CCS,,"Nic Voss, Gargett, QLD",NV,WW,17/05/1999,21/09/2000,,Mackay 03,(3R)  Harvest Dates (2 - May and September  ) x  Replicates,2,,
441,Effect of Drying Off Before Harvest,3 Dry-off treatments - 2R,,"Oasis Bananas, Kununurra, WA (H&V Diederichsen)",OB,OB 210.1.20,29/08/1997,29/08/1998,,"Kununurra Research Station, Campbell Logger","3 Dry-off treatments ( 40 days, 54 days, 68 days)",3,,
442,Effect of Drying Off Before Harvest,3 Dry-off treatments 2R,,"P & G Pegg, Kununurra, WA",PP,PP 230.3.10,18/09/1997,18/09/1998,,"Kununurra Research Station, Campbell Logger","3 Dry-off treatments ( 20 days, 37 days, 37 days)",3,,
825,CRC 3.2 Crop Response to Alternative Harvest Dates - (Apr + Aug),(2R) Crop Yield and CCS Response - To determine effect of harvest date on yield and CCS,,"Paul Bohem, Sunnyside Mackay",PB,PB Blk 1-3-2,7/7/1997,4/8/1998,,Mackay 04,(2R) 2 Harvest Dates (April & August)  x 2 Replicates,2,,
826,CRC 3.2 Crop Response to Alternative Harvest Dates - (May + Aug),(3R) Crop Yield and CCS Response - To determine effect of harvest date on yield and CCS,,"Paul Bohem, Sunnyside Mackay",PB,PB Blk 1-3-2,7/4/1998,4/8/1999,,Mackay 04,(3R) 2 Harvest Dates (April & August)  x 2 Replicates,2,,
827,CRC 3.2 Crop Response to Alternative Harvest Dates - (May + Aug),(4R) Crop Yield and CCS Response - To determine effect of harvest date on yield and CCS,,"Paul Bohem, Sunnyside Mackay",PB,PB Blk 1-3-2,4/5/1999,3/8/2000,,Mackay 04,(4R) 2 Harvest Dates (April & August)  x 2 Replicates,2,,
309,Growth Analysis on Irrigated NCo376 - Plant Crop MERR5,(Plant) 1 variety,,"Pongola, Natal, South Africa",PO,PO Field 308,12/11/1967,10/10/1968,,Pongola Exp Farm,(Plant) 1 variety (Nco376),1,,
310,Growth Analysis on Irrigated NCo376 - 1st Ratoon MERR5,(1st Ratoon) 1 variety,,"Pongola, Natal, South Africa",PO,PO Field 308,10/10/1968,5/11/1969,,Pongola Exp Farm,(1st Ratoon) 1 variety (Nco376),1,,
314,Growth Analysis in Irrigated N14,2 Crop Classes,,"Pongola, Natal, South Africa",PO,PO Field 308,12/11/1986,12/10/1987,,Pongola Exp Farm,2 Crop Classes ( Plant & Ratoon),1,,
807,CRC 3.1 Crop & Yield Response to Timing and Amount of Irrigation,"(Plant) 5 Trickle Irrigation rates - To measure the yield response to well watered, and supplementary irrigated, and rainfed conditions of Q135 (plant crop) in the Mackay district.",,"Powell, Mackay, Qld",PW,PW Padd 9-1,1/4/1996,20/09/1997,,"Powel, Mackay","(Plant) 5 Trickle Irrigations (Full, 2ML/ha early, 2ML/ha late,  4 ML/ha, Rainfed)",4,,
619,CRC 3.2 Northern Region - Better Crop Scheduling and Yield Forecasting,(Plant) 2 Varieties * 3 Harvest Dates Crop Scheduling - To determine effect of harvest date on yield and CCS of 2 varieties,,"S Adil, Mossman, Qld (Biboohra)",SA,SA BLOCK 5,15/08/1996,30/12/1997,,"Adil  Farm Co, Biboohra","(Plant) 2 Varieties (Q120, Q124) * 3 Harvest Dates (May, August, September) * 2 Reps",2,,
620,CRC 3.2 Northern Region - Better Crop Scheduling and Yield Forecasting,(1R) 2 Varieties * 3 Crop Start Dates Crop Scheduling - To determine effect of crop start date on yield and CCS of 2 varieties,,"S Adil, Mossman, Qld (Biboohra)",SA,SA BLOCK 5,28/05/1997,30/10/1998,,"Adil  Farm Co, Biboohra","(1R) 2 Varieties (Q120, Q124) * 3 Crop Start Dates (May, August, September) * 2 Reps",2,,
203,CRC 3.3 Lodging and Season Effects Under Rainfed,"(Plant) 2 Lodging Treatments x 2 planting dates - To determine what factors cause slow down in biomass and sucrose production in large, lodged crops",,"Vecchio, Euramo, Tully, North QLD",VC,VC Field 1,29/08/1997,2/9/1998,,"Vecchio, Tully, North QLD","(Plant) 2 Lodging Treatments (control, Scaffolding) x 2 planting dates (normal, late)",3,,
505,Search for Guidance in the Nitrogen Fertilization - EXP108 ATN,(Plant) 4 N rates x 4 application times,,"Waipio Experiment Station, Oahu, Hawaii",WA,WA Field L,26/07/1940,15/04/1942,,"Makiki Experiment Station, Oahu","(Plant) 4 N rates (0, 112, 180, 247 kg /ha) with 4 different application times  - Sampled 2 monthly intervals - Variety H32-8560 n -.  Crop irrigated from planting every 250 oCdays until 21/1/42",1,,
506,Search for Guidance in the N fertilisation - EXP108 ATN,(1st Ratoon ) 4 N rates,,"Waipio Experiment Station, Oahu, Hawaii",WA,WA Field L,25/05/1942,14/02/1943,,"Waipio Experiment Station, Oahu","(1st Ratoon) 4 N rates (0, 112, 180, 247 kg/ha) with 4 different application times  - Sampled at 2 monthly intervals - variety H32-8560",1,,
812,CRC 3.2.2 Better Crop Scheduling and Yield Forecasting,(Plant) 2 varieties * 4 harvest dates - To determine effect of harvest date on yield and CCS of 2 varieties,,"Wallace, Wagoora, Mackay  Qld",WL,WL Block 8-3,30/04/1996,31/12/1997,,Mackay 04,"(Plant) 2 varieties (Q121, Q124) * 4 harvest dates (April, June, September, November) * 2 replications",2,,
813,CRC 3.2.2 Better Crop Scheduling and Yield Forecasting,(1R) 2 varieties * 4 crop start dates - To determine effect of crop starts date on yield and CCS of 2 varieties,,"Wallace, Wagoora, Mackay  Qld",WL,WL Block 8,15/04/1997,30/11/1998,,Mackay 04,"(1R) 2 varieties ( Q121, Q124) * 4 crop start dates (April, June, September, November) * 2 replications",2,,
835,CRC 3.2 Crop Response to Alternative Harvest Dates in Sunnyside,(1R) Crop Yield and CCS Response - To determine effect of harvest date on yield and CCS,,"Warwick Westcott, Sunnyside Mackay",WW,WW Blk 24-1-2,3/8/1997,11/8/1998,,Mackay 04,(1R) 2 Harvest Dates (April & August) x 2 Replicates,2,,
836,CRC 3.2 Crop Response to Alternative Harvest Dates in Sunnyside,(2R) Crop Yield and CCS Response - To determine effect of harvest date on yield and CCS,,"Warwick Westcott, Sunnyside Mackay",WW,WW Blk 24-1-2,7/4/1998,9/8/1999,,Mackay 04,(2R) 2 Harvest Dates (April & August) x 2 Replicates,2,,
837,CRC 3.2 Crop Response to Alternative Harvest Dates in Sunnyside,(3R) Crop Yield and CCS Response - To determine effect of harvest date on yield and CCS,,"Warwick Westcott, Sunnyside Mackay",WW,WW Blk 24-1-2,4/5/1999,9/8/2000,,Mackay 04,(3R) 2 Harvest Dates (April & August) x 2 Replicates,2,,
